X Y Z
545096.604736 6428169.892578 1750.0
545096.604736 6428169.892578 1950.0
999.0 999.0 999.0
545048.321777 6428090.574463 1750.0
545048.321777 6428090.574463 1950.0
999.0 999.0 999.0
545000.038818 6428011.256348 1750.0
545000.038818 6428011.256348 1950.0
999.0 999.0 999.0
544951.755615 6427931.937988 1750.0
544951.755615 6427931.937988 1950.0
999.0 999.0 999.0
544903.4729 6427852.620117 1750.0
544903.4729 6427852.620117 1950.0
999.0 999.0 999.0
544855.189941 6427773.301758 1750.0
544855.189941 6427773.301758 1950.0
999.0 999.0 999.0
544806.906738 6427693.983643 1750.0
544806.906738 6427693.983643 1950.0
999.0 999.0 999.0
544758.624023 6427614.665527 1750.0
544758.624023 6427614.665527 1950.0
999.0 999.0 999.0
544710.341064 6427535.347412 1750.0
544710.341064 6427535.347412 1950.0
999.0 999.0 999.0
544662.058105 6427456.029297 1750.0
544662.058105 6427456.029297 1950.0
999.0 999.0 999.0
544613.381348 6427397.036133 1750.0
544613.381348 6427397.036133 1950.0
999.0 999.0 999.0
544564.704834 6427338.042969 1750.0
544564.704834 6427338.042969 1950.0
999.0 999.0 999.0
544516.02832 6427279.049805 1750.0
544516.02832 6427279.049805 1950.0
999.0 999.0 999.0
544467.351563 6427220.056641 1750.0
544467.351563 6427220.056641 1950.0
999.0 999.0 999.0
544425.42334 6427134.848145 1750.0
544425.42334 6427134.848145 1950.0
999.0 999.0 999.0
544383.495361 6427049.639648 1750.0
544383.495361 6427049.639648 1950.0
999.0 999.0 999.0
544341.567383 6426964.431152 1750.0
544341.567383 6426964.431152 1950.0
999.0 999.0 999.0
544299.63916 6426879.222656 1750.0
544299.63916 6426879.222656 1950.0
999.0 999.0 999.0
544238.463135 6426804.371582 1750.0
544238.463135 6426804.371582 1950.0
999.0 999.0 999.0
544177.286621 6426729.520508 1750.0
544177.286621 6426729.520508 1950.0
999.0 999.0 999.0
544116.110352 6426654.669434 1750.0
544116.110352 6426654.669434 1950.0
999.0 999.0 999.0
544054.934326 6426579.818359 1750.0
544054.934326 6426579.818359 1950.0
999.0 999.0 999.0
544018.246094 6426503.843262 1750.0
544018.246094 6426503.843262 1950.0
999.0 999.0 999.0
543981.557617 6426427.868164 1750.0
543981.557617 6426427.868164 1950.0
999.0 999.0 999.0
543944.869385 6426351.893066 1750.0
543944.869385 6426351.893066 1950.0
999.0 999.0 999.0
543908.181152 6426275.917969 1750.0
543908.181152 6426275.917969 1950.0
999.0 999.0 999.0
543879.161621 6426197.610352 1750.0
543879.161621 6426197.610352 1950.0
999.0 999.0 999.0
543850.142334 6426119.302734 1750.0
543850.142334 6426119.302734 1950.0
999.0 999.0 999.0
543821.123047 6426040.995117 1750.0
543821.123047 6426040.995117 1950.0
999.0 999.0 999.0
543792.103516 6425962.6875 1750.0
543792.103516 6425962.6875 1950.0
999.0 999.0 999.0
543746.566406 6425896.782104 1750.0
543746.566406 6425896.782104 1950.0
999.0 999.0 999.0
543701.029053 6425830.876587 1750.0
543701.029053 6425830.876587 1950.0
999.0 999.0 999.0
543655.491699 6425764.971069 1750.0
543655.491699 6425764.971069 1950.0
999.0 999.0 999.0
543609.95459 6425699.065674 1750.0
543609.95459 6425699.065674 1950.0
999.0 999.0 999.0
543564.417236 6425633.160156 1750.0
543564.417236 6425633.160156 1950.0
999.0 999.0 999.0
543520.840576 6425552.592102 1750.0
543520.840576 6425552.592102 1950.0
999.0 999.0 999.0
543477.263672 6425472.024048 1750.0
543477.263672 6425472.024048 1950.0
999.0 999.0 999.0
543433.687012 6425391.456055 1750.0
543433.687012 6425391.456055 1950.0
999.0 999.0 999.0
543390.110352 6425310.888 1750.0
543390.110352 6425310.888 1950.0
999.0 999.0 999.0
543346.533691 6425230.320007 1750.0
543346.533691 6425230.320007 1950.0
999.0 999.0 999.0
543302.957031 6425149.751953 1750.0
543302.957031 6425149.751953 1950.0
999.0 999.0 999.0
543269.290039 6425070.301758 1750.0
543269.290039 6425070.301758 1950.0
999.0 999.0 999.0
543235.623047 6424990.851563 1750.0
543235.623047 6424990.851563 1950.0
999.0 999.0 999.0
543196.408691 6424922.593262 1750.0
543196.408691 6424922.593262 1950.0
999.0 999.0 999.0
543157.19458 6424854.334961 1750.0
543157.19458 6424854.334961 1950.0
999.0 999.0 999.0
543117.980347 6424786.07666 1750.0
543117.980347 6424786.07666 1950.0
999.0 999.0 999.0
543078.766113 6424717.818359 1750.0
543078.766113 6424717.818359 1950.0
999.0 999.0 999.0
543033.702515 6424641.90625 1750.0
543033.702515 6424641.90625 1950.0
999.0 999.0 999.0
542988.638916 6424565.994141 1750.0
542988.638916 6424565.994141 1950.0
999.0 999.0 999.0
542943.575317 6424490.082031 1750.0
542943.575317 6424490.082031 1950.0
999.0 999.0 999.0
542898.511719 6424414.169922 1750.0
542898.511719 6424414.169922 1950.0
999.0 999.0 999.0
542850.807861 6424337.366852 1750.0
542850.807861 6424337.366852 1950.0
999.0 999.0 999.0
542803.104004 6424260.563812 1750.0
542803.104004 6424260.563812 1950.0
999.0 999.0 999.0
542755.400146 6424183.760742 1750.0
542755.400146 6424183.760742 1950.0
999.0 999.0 999.0
542707.696289 6424106.957672 1750.0
542707.696289 6424106.957672 1950.0
999.0 999.0 999.0
542659.992432 6424030.154663 1750.0
542659.992432 6424030.154663 1950.0
999.0 999.0 999.0
542612.288574 6423953.351563 1750.0
542612.288574 6423953.351563 1950.0
999.0 999.0 999.0
542570.786133 6423879.410522 1750.0
542570.786133 6423879.410522 1950.0
999.0 999.0 999.0
542529.283936 6423805.469421 1750.0
542529.283936 6423805.469421 1950.0
999.0 999.0 999.0
542487.781616 6423731.52832 1750.0
542487.781616 6423731.52832 1950.0
999.0 999.0 999.0
542446.279297 6423657.58728 1750.0
542446.279297 6423657.58728 1950.0
999.0 999.0 999.0
542404.776855 6423583.646118 1750.0
542404.776855 6423583.646118 1950.0
999.0 999.0 999.0
542363.274658 6423509.705078 1750.0
542363.274658 6423509.705078 1950.0
999.0 999.0 999.0
542293.805298 6423459.427124 1750.0
542293.805298 6423459.427124 1950.0
999.0 999.0 999.0
542224.33606 6423409.14917 1750.0
542224.33606 6423409.14917 1950.0
999.0 999.0 999.0
542154.866821 6423358.871094 1750.0
542154.866821 6423358.871094 1950.0
999.0 999.0 999.0
542085.397522 6423308.59314 1750.0
542085.397522 6423308.59314 1950.0
999.0 999.0 999.0
542015.928284 6423258.315186 1750.0
542015.928284 6423258.315186 1950.0
999.0 999.0 999.0
541946.458984 6423208.037109 1750.0
541946.458984 6423208.037109 1950.0
999.0 999.0 999.0
