X Y Z
545526.479492 6427757.964844 1750.0
545526.479492 6427757.964844 1950.0
999.0 999.0 999.0
545480.793945 6427669.844971 1750.0
545480.793945 6427669.844971 1950.0
999.0 999.0 999.0
545435.10791 6427581.725098 1750.0
545435.10791 6427581.725098 1950.0
999.0 999.0 999.0
545389.422363 6427493.60498 1750.0
545389.422363 6427493.60498 1950.0
999.0 999.0 999.0
545343.736328 6427405.485352 1750.0
545343.736328 6427405.485352 1950.0
999.0 999.0 999.0
545298.050781 6427317.365234 1750.0
545298.050781 6427317.365234 1950.0
999.0 999.0 999.0
545256.472656 6427241.628662 1750.0
545256.472656 6427241.628662 1950.0
999.0 999.0 999.0
545214.89502 6427165.891846 1750.0
545214.89502 6427165.891846 1950.0
999.0 999.0 999.0
545173.316895 6427090.155029 1750.0
545173.316895 6427090.155029 1950.0
999.0 999.0 999.0
545131.739014 6427014.418457 1750.0
545131.739014 6427014.418457 1950.0
999.0 999.0 999.0
545090.161133 6426938.681641 1750.0
545090.161133 6426938.681641 1950.0
999.0 999.0 999.0
545013.688232 6426876.824219 1750.0
545013.688232 6426876.824219 1950.0
999.0 999.0 999.0
544937.215332 6426814.966797 1750.0
544937.215332 6426814.966797 1950.0
999.0 999.0 999.0
544860.742676 6426753.109375 1750.0
544860.742676 6426753.109375 1950.0
999.0 999.0 999.0
544784.269775 6426691.251953 1750.0
544784.269775 6426691.251953 1950.0
999.0 999.0 999.0
544707.797119 6426629.394531 1750.0
544707.797119 6426629.394531 1950.0
999.0 999.0 999.0
544631.324219 6426567.537109 1750.0
544631.324219 6426567.537109 1950.0
999.0 999.0 999.0
544579.14209 6426499.956299 1750.0
544579.14209 6426499.956299 1950.0
999.0 999.0 999.0
544526.960449 6426432.375488 1750.0
544526.960449 6426432.375488 1950.0
999.0 999.0 999.0
544474.77832 6426364.794434 1750.0
544474.77832 6426364.794434 1950.0
999.0 999.0 999.0
544422.596191 6426297.213623 1750.0
544422.596191 6426297.213623 1950.0
999.0 999.0 999.0
544370.414063 6426229.632813 1750.0
544370.414063 6426229.632813 1950.0
999.0 999.0 999.0
544318.193359 6426145.033203 1750.0
544318.193359 6426145.033203 1950.0
999.0 999.0 999.0
544265.972656 6426060.433594 1750.0
544265.972656 6426060.433594 1950.0
999.0 999.0 999.0
544246.560303 6425987.000488 1750.0
544246.560303 6425987.000488 1950.0
999.0 999.0 999.0
544227.147949 6425913.567383 1750.0
544227.147949 6425913.567383 1950.0
999.0 999.0 999.0
544207.735596 6425840.134277 1750.0
544207.735596 6425840.134277 1950.0
999.0 999.0 999.0
544188.323242 6425766.701172 1750.0
544188.323242 6425766.701172 1950.0
999.0 999.0 999.0
544128.028564 6425706.442383 1750.0
544128.028564 6425706.442383 1950.0
999.0 999.0 999.0
544067.733398 6425646.183594 1750.0
544067.733398 6425646.183594 1950.0
999.0 999.0 999.0
544007.438965 6425585.924805 1750.0
544007.438965 6425585.924805 1950.0
999.0 999.0 999.0
543947.144043 6425525.666016 1750.0
543947.144043 6425525.666016 1950.0
999.0 999.0 999.0
543886.849365 6425465.407227 1750.0
543886.849365 6425465.407227 1950.0
999.0 999.0 999.0
543826.554688 6425405.148438 1750.0
543826.554688 6425405.148438 1950.0
999.0 999.0 999.0
543787.617188 6425322.70459 1750.0
543787.617188 6425322.70459 1950.0
999.0 999.0 999.0
543748.679688 6425240.260742 1750.0
543748.679688 6425240.260742 1950.0
999.0 999.0 999.0
543709.742188 6425157.816895 1750.0
543709.742188 6425157.816895 1950.0
999.0 999.0 999.0
543670.804688 6425075.373047 1750.0
543670.804688 6425075.373047 1950.0
999.0 999.0 999.0
543636.907227 6425001.042572 1750.0
543636.907227 6425001.042572 1950.0
999.0 999.0 999.0
543603.01001 6424926.712128 1750.0
543603.01001 6424926.712128 1950.0
999.0 999.0 999.0
543569.112305 6424852.381622 1750.0
543569.112305 6424852.381622 1950.0
999.0 999.0 999.0
543535.214844 6424778.051163 1750.0
543535.214844 6424778.051163 1950.0
999.0 999.0 999.0
543501.317627 6424703.720703 1750.0
543501.317627 6424703.720703 1950.0
999.0 999.0 999.0
543445.999023 6424621.495117 1750.0
543445.999023 6424621.495117 1950.0
999.0 999.0 999.0
543390.680176 6424539.269531 1750.0
543390.680176 6424539.269531 1950.0
999.0 999.0 999.0
543335.361572 6424457.043945 1750.0
543335.361572 6424457.043945 1950.0
999.0 999.0 999.0
543280.042969 6424374.818359 1750.0
543280.042969 6424374.818359 1950.0
999.0 999.0 999.0
543228.933594 6424306.049988 1750.0
543228.933594 6424306.049988 1950.0
999.0 999.0 999.0
543177.824219 6424237.281616 1750.0
543177.824219 6424237.281616 1950.0
999.0 999.0 999.0
543126.7146 6424168.513306 1750.0
543126.7146 6424168.513306 1950.0
999.0 999.0 999.0
543075.605225 6424099.744934 1750.0
543075.605225 6424099.744934 1950.0
999.0 999.0 999.0
543024.49585 6424030.976563 1750.0
543024.49585 6424030.976563 1950.0
999.0 999.0 999.0
542974.130859 6423963.50354 1750.0
542974.130859 6423963.50354 1950.0
999.0 999.0 999.0
542923.765869 6423896.030457 1750.0
542923.765869 6423896.030457 1950.0
999.0 999.0 999.0
542873.400635 6423828.557373 1750.0
542873.400635 6423828.557373 1950.0
999.0 999.0 999.0
542823.035767 6423761.084351 1750.0
542823.035767 6423761.084351 1950.0
999.0 999.0 999.0
542772.670654 6423693.611328 1750.0
542772.670654 6423693.611328 1950.0
999.0 999.0 999.0
542760.745483 6423595.617188 1750.0
542760.745483 6423595.617188 1950.0
999.0 999.0 999.0
542748.820313 6423497.623047 1750.0
542748.820313 6423497.623047 1950.0
999.0 999.0 999.0
542718.354736 6423416.214478 1750.0
542718.354736 6423416.214478 1950.0
999.0 999.0 999.0
542687.88916 6423334.805786 1750.0
542687.88916 6423334.805786 1950.0
999.0 999.0 999.0
542657.42334 6423253.397217 1750.0
542657.42334 6423253.397217 1950.0
999.0 999.0 999.0
542626.957764 6423171.988647 1750.0
542626.957764 6423171.988647 1950.0
999.0 999.0 999.0
542596.492188 6423090.580078 1750.0
542596.492188 6423090.580078 1950.0
999.0 999.0 999.0
542542.078125 6423029.198242 1750.0
542542.078125 6423029.198242 1950.0
999.0 999.0 999.0
542487.664063 6422967.816406 1750.0
542487.664063 6422967.816406 1950.0
999.0 999.0 999.0
542424.417969 6422896.464844 1750.0
542424.417969 6422896.464844 1950.0
999.0 999.0 999.0
542383.255859 6422863.515625 1750.0
542383.255859 6422863.515625 1950.0
999.0 999.0 999.0
542342.09375 6422830.566406 1750.0
542342.09375 6422830.566406 1950.0
999.0 999.0 999.0
542306.371094 6422773.129639 1750.0
542306.371094 6422773.129639 1950.0
999.0 999.0 999.0
542270.648682 6422715.692749 1750.0
542270.648682 6422715.692749 1950.0
999.0 999.0 999.0
542234.926025 6422658.255859 1750.0
542234.926025 6422658.255859 1950.0
999.0 999.0 999.0
542214.992676 6422582.041016 1750.0
542214.992676 6422582.041016 1950.0
999.0 999.0 999.0
542195.059448 6422505.826172 1750.0
542195.059448 6422505.826172 1950.0
999.0 999.0 999.0
542175.126221 6422429.611328 1750.0
542175.126221 6422429.611328 1950.0
999.0 999.0 999.0
542155.192871 6422353.396484 1750.0
542155.192871 6422353.396484 1950.0
999.0 999.0 999.0
542138.130371 6422262.928711 1750.0
542138.130371 6422262.928711 1950.0
999.0 999.0 999.0
542121.067993 6422172.460938 1750.0
542121.067993 6422172.460938 1950.0
999.0 999.0 999.0
542104.005615 6422081.993164 1750.0
542104.005615 6422081.993164 1950.0
