X Y Z
548530.648438 6420907.03418 1750.0
548530.648438 6420907.03418 1950.0
999.0 999.0 999.0
548481.074707 6420840.338623 1750.0
548481.074707 6420840.338623 1950.0
999.0 999.0 999.0
548431.5 6420773.643555 1750.0
548431.5 6420773.643555 1950.0
999.0 999.0 999.0
548381.925781 6420706.948242 1750.0
548381.925781 6420706.948242 1950.0
999.0 999.0 999.0
548332.351563 6420640.25293 1750.0
548332.351563 6420640.25293 1950.0
999.0 999.0 999.0
548282.777344 6420573.557617 1750.0
548282.777344 6420573.557617 1950.0
999.0 999.0 999.0
548232.092773 6420494.860352 1750.0
548232.092773 6420494.860352 1950.0
999.0 999.0 999.0
548181.408203 6420416.163086 1750.0
548181.408203 6420416.163086 1950.0
999.0 999.0 999.0
548130.723633 6420337.465332 1750.0
548130.723633 6420337.465332 1950.0
999.0 999.0 999.0
548080.039063 6420258.768066 1750.0
548080.039063 6420258.768066 1950.0
999.0 999.0 999.0
548029.354492 6420180.070313 1750.0
548029.354492 6420180.070313 1950.0
999.0 999.0 999.0
547978.669922 6420101.373047 1750.0
547978.669922 6420101.373047 1950.0
999.0 999.0 999.0
547926.246094 6420030.969238 1750.0
547926.246094 6420030.969238 1950.0
999.0 999.0 999.0
547873.822754 6419960.56543 1750.0
547873.822754 6419960.56543 1950.0
999.0 999.0 999.0
547821.399414 6419890.162109 1750.0
547821.399414 6419890.162109 1950.0
999.0 999.0 999.0
547768.975586 6419819.758301 1750.0
547768.975586 6419819.758301 1950.0
999.0 999.0 999.0
547716.551758 6419749.354492 1750.0
547716.551758 6419749.354492 1950.0
999.0 999.0 999.0
547664.128418 6419678.951172 1750.0
547664.128418 6419678.951172 1950.0
999.0 999.0 999.0
547611.705078 6419608.546875 1750.0
547611.705078 6419608.546875 1950.0
999.0 999.0 999.0
547559.28125 6419538.143555 1750.0
547559.28125 6419538.143555 1950.0
999.0 999.0 999.0
547502.875488 6419465.138672 1750.0
547502.875488 6419465.138672 1950.0
999.0 999.0 999.0
547446.469727 6419392.133301 1750.0
547446.469727 6419392.133301 1950.0
999.0 999.0 999.0
547390.063477 6419319.128418 1750.0
547390.063477 6419319.128418 1950.0
999.0 999.0 999.0
547333.657227 6419246.123535 1750.0
547333.657227 6419246.123535 1950.0
999.0 999.0 999.0
547277.251465 6419173.118164 1750.0
547277.251465 6419173.118164 1950.0
999.0 999.0 999.0
547205.313477 6419109.024414 1750.0
547205.313477 6419109.024414 1950.0
999.0 999.0 999.0
547133.375977 6419044.931152 1750.0
547133.375977 6419044.931152 1950.0
999.0 999.0 999.0
547061.437988 6418980.837891 1750.0
547061.437988 6418980.837891 1950.0
999.0 999.0 999.0
546989.5 6418916.744141 1750.0
546989.5 6418916.744141 1950.0
999.0 999.0 999.0
546936.272461 6418848.919922 1750.0
546936.272461 6418848.919922 1950.0
999.0 999.0 999.0
546883.044434 6418781.095703 1750.0
546883.044434 6418781.095703 1950.0
999.0 999.0 999.0
546840.892578 6418692.81543 1750.0
546840.892578 6418692.81543 1950.0
999.0 999.0 999.0
546798.741211 6418604.535156 1750.0
546798.741211 6418604.535156 1950.0
999.0 999.0 999.0
546756.588867 6418516.255859 1750.0
546756.588867 6418516.255859 1950.0
999.0 999.0 999.0
546714.437012 6418427.975586 1750.0
546714.437012 6418427.975586 1950.0
999.0 999.0 999.0
546672.285156 6418339.695313 1750.0
546672.285156 6418339.695313 1950.0
999.0 999.0 999.0
546644.30127 6418251.967285 1750.0
546644.30127 6418251.967285 1950.0
999.0 999.0 999.0
546616.317383 6418164.239258 1750.0
546616.317383 6418164.239258 1950.0
999.0 999.0 999.0
546588.333008 6418076.510742 1750.0
546588.333008 6418076.510742 1950.0
999.0 999.0 999.0
546560.349609 6417988.782715 1750.0
546560.349609 6417988.782715 1950.0
999.0 999.0 999.0
546532.365234 6417901.054688 1750.0
546532.365234 6417901.054688 1950.0
999.0 999.0 999.0
546504.380859 6417813.326172 1750.0
546504.380859 6417813.326172 1950.0
999.0 999.0 999.0
546476.396973 6417725.598633 1750.0
546476.396973 6417725.598633 1950.0
999.0 999.0 999.0
546448.413086 6417637.870117 1750.0
546448.413086 6417637.870117 1950.0
999.0 999.0 999.0
546420.428711 6417550.14209 1750.0
546420.428711 6417550.14209 1950.0
999.0 999.0 999.0
546392.444824 6417462.414063 1750.0
546392.444824 6417462.414063 1950.0
999.0 999.0 999.0
546383.65918 6417365.296875 1750.0
546383.65918 6417365.296875 1950.0
999.0 999.0 999.0
546374.874023 6417268.178711 1750.0
546374.874023 6417268.178711 1950.0
999.0 999.0 999.0
546366.088379 6417171.060547 1750.0
546366.088379 6417171.060547 1950.0
999.0 999.0 999.0
546341.429688 6417090.044922 1750.0
546341.429688 6417090.044922 1950.0
999.0 999.0 999.0
546316.770508 6417009.029297 1750.0
546316.770508 6417009.029297 1950.0
999.0 999.0 999.0
546292.111328 6416928.013672 1750.0
546292.111328 6416928.013672 1950.0
999.0 999.0 999.0
546267.452148 6416846.998047 1750.0
546267.452148 6416846.998047 1950.0
999.0 999.0 999.0
546237.239258 6416758.041992 1750.0
546237.239258 6416758.041992 1950.0
999.0 999.0 999.0
546207.026367 6416669.085449 1750.0
546207.026367 6416669.085449 1950.0
999.0 999.0 999.0
546176.813477 6416580.129883 1750.0
546176.813477 6416580.129883 1950.0
999.0 999.0 999.0
546146.600586 6416491.172852 1750.0
546146.600586 6416491.172852 1950.0
999.0 999.0 999.0
