X Y Z
542988.84375 6423215.779297 1750.0
542988.84375 6423215.779297 1950.0
999.0 999.0 999.0
542971.931641 6423117.353882 1750.0
542971.931641 6423117.353882 1950.0
999.0 999.0 999.0
542955.019287 6423018.928467 1750.0
542955.019287 6423018.928467 1950.0
999.0 999.0 999.0
542938.107056 6422920.503174 1750.0
542938.107056 6422920.503174 1950.0
999.0 999.0 999.0
542921.194824 6422822.077759 1750.0
542921.194824 6422822.077759 1950.0
999.0 999.0 999.0
542904.282471 6422723.652344 1750.0
542904.282471 6422723.652344 1950.0
999.0 999.0 999.0
542896.079102 6422635.013672 1750.0
542896.079102 6422635.013672 1950.0
999.0 999.0 999.0
542887.875732 6422546.375 1750.0
542887.875732 6422546.375 1950.0
999.0 999.0 999.0
542879.672119 6422457.736328 1750.0
542879.672119 6422457.736328 1950.0
999.0 999.0 999.0
542871.46875 6422369.097656 1750.0
542871.46875 6422369.097656 1950.0
999.0 999.0 999.0
542863.265381 6422280.458984 1750.0
542863.265381 6422280.458984 1950.0
999.0 999.0 999.0
542855.061768 6422191.820313 1750.0
542855.061768 6422191.820313 1950.0
999.0 999.0 999.0
542846.858398 6422103.181641 1750.0
542846.858398 6422103.181641 1950.0
999.0 999.0 999.0
542838.655029 6422014.542969 1750.0
542838.655029 6422014.542969 1950.0
999.0 999.0 999.0
542829.62915 6421918.830811 1750.0
542829.62915 6421918.830811 1950.0
999.0 999.0 999.0
542820.603271 6421823.118652 1750.0
542820.603271 6421823.118652 1950.0
999.0 999.0 999.0
542811.577393 6421727.406494 1750.0
542811.577393 6421727.406494 1950.0
999.0 999.0 999.0
542802.551514 6421631.694336 1750.0
542802.551514 6421631.694336 1950.0
999.0 999.0 999.0
542775.898315 6421541.32666 1750.0
542775.898315 6421541.32666 1950.0
999.0 999.0 999.0
542749.245239 6421450.959229 1750.0
542749.245239 6421450.959229 1950.0
999.0 999.0 999.0
542722.592041 6421360.591553 1750.0
542722.592041 6421360.591553 1950.0
999.0 999.0 999.0
542695.938965 6421270.223877 1750.0
542695.938965 6421270.223877 1950.0
999.0 999.0 999.0
542669.285767 6421179.856445 1750.0
542669.285767 6421179.856445 1950.0
999.0 999.0 999.0
542642.632568 6421089.48877 1750.0
542642.632568 6421089.48877 1950.0
999.0 999.0 999.0
542615.979492 6420999.121338 1750.0
542615.979492 6420999.121338 1950.0
999.0 999.0 999.0
542589.326294 6420908.753662 1750.0
542589.326294 6420908.753662 1950.0
999.0 999.0 999.0
542562.673096 6420818.38623 1750.0
542562.673096 6420818.38623 1950.0
999.0 999.0 999.0
542536.02002 6420728.018555 1750.0
542536.02002 6420728.018555 1950.0
999.0 999.0 999.0
542494.3927 6420651.424316 1750.0
542494.3927 6420651.424316 1950.0
999.0 999.0 999.0
542452.765381 6420574.830078 1750.0
542452.765381 6420574.830078 1950.0
999.0 999.0 999.0
542411.138062 6420498.236328 1750.0
542411.138062 6420498.236328 1950.0
999.0 999.0 999.0
542369.510742 6420421.64209 1750.0
542369.510742 6420421.64209 1950.0
999.0 999.0 999.0
542327.883545 6420345.047852 1750.0
542327.883545 6420345.047852 1950.0
999.0 999.0 999.0
542286.256226 6420268.453613 1750.0
542286.256226 6420268.453613 1950.0
999.0 999.0 999.0
542244.628906 6420191.859375 1750.0
542244.628906 6420191.859375 1950.0
999.0 999.0 999.0
542201.062988 6420106.317383 1750.0
542201.062988 6420106.317383 1950.0
999.0 999.0 999.0
542157.49707 6420020.775879 1750.0
542157.49707 6420020.775879 1950.0
999.0 999.0 999.0
542113.931152 6419935.234375 1750.0
542113.931152 6419935.234375 1950.0
999.0 999.0 999.0
542070.365234 6419849.692383 1750.0
542070.365234 6419849.692383 1950.0
999.0 999.0 999.0
542026.799316 6419764.150879 1750.0
542026.799316 6419764.150879 1950.0
999.0 999.0 999.0
541983.233398 6419678.608887 1750.0
541983.233398 6419678.608887 1950.0
999.0 999.0 999.0
541939.66748 6419593.067383 1750.0
541939.66748 6419593.067383 1950.0
999.0 999.0 999.0
541885.329895 6419524.935547 1750.0
541885.329895 6419524.935547 1950.0
999.0 999.0 999.0
541830.99231 6419456.803711 1750.0
541830.99231 6419456.803711 1950.0
999.0 999.0 999.0
541776.654663 6419388.672363 1750.0
541776.654663 6419388.672363 1950.0
999.0 999.0 999.0
541722.317078 6419320.541016 1750.0
541722.317078 6419320.541016 1950.0
999.0 999.0 999.0
541667.979492 6419252.40918 1750.0
541667.979492 6419252.40918 1950.0
999.0 999.0 999.0
541624.271118 6419176.119629 1750.0
541624.271118 6419176.119629 1950.0
999.0 999.0 999.0
541580.562744 6419099.830078 1750.0
541580.562744 6419099.830078 1950.0
999.0 999.0 999.0
541536.854309 6419023.541016 1750.0
541536.854309 6419023.541016 1950.0
999.0 999.0 999.0
541493.145905 6418947.251465 1750.0
541493.145905 6418947.251465 1950.0
999.0 999.0 999.0
541449.4375 6418870.961914 1750.0
541449.4375 6418870.961914 1950.0
999.0 999.0 999.0
