X Y Z
544559.527344 6428468.976563 1750.0
544559.527344 6428468.976563 1950.0
999.0 999.0 999.0
544501.123535 6428389.957275 1750.0
544501.123535 6428389.957275 1950.0
999.0 999.0 999.0
544442.719727 6428310.937988 1750.0
544442.719727 6428310.937988 1950.0
999.0 999.0 999.0
544384.315918 6428231.918701 1750.0
544384.315918 6428231.918701 1950.0
999.0 999.0 999.0
544325.912109 6428152.899414 1750.0
544325.912109 6428152.899414 1950.0
999.0 999.0 999.0
544267.508301 6428073.880127 1750.0
544267.508301 6428073.880127 1950.0
999.0 999.0 999.0
544209.104492 6427994.86084 1750.0
544209.104492 6427994.86084 1950.0
999.0 999.0 999.0
544150.700684 6427915.841553 1750.0
544150.700684 6427915.841553 1950.0
999.0 999.0 999.0
544092.296875 6427836.822266 1750.0
544092.296875 6427836.822266 1950.0
999.0 999.0 999.0
544036.470703 6427776.808105 1750.0
544036.470703 6427776.808105 1950.0
999.0 999.0 999.0
543980.644531 6427716.793945 1750.0
543980.644531 6427716.793945 1950.0
999.0 999.0 999.0
543924.818359 6427656.779785 1750.0
543924.818359 6427656.779785 1950.0
999.0 999.0 999.0
543868.992188 6427596.765625 1750.0
543868.992188 6427596.765625 1950.0
999.0 999.0 999.0
543840.341797 6427507.47168 1750.0
543840.341797 6427507.47168 1950.0
999.0 999.0 999.0
543811.691406 6427418.177734 1750.0
543811.691406 6427418.177734 1950.0
999.0 999.0 999.0
543783.041016 6427328.883789 1750.0
543783.041016 6427328.883789 1950.0
999.0 999.0 999.0
543754.390625 6427239.589844 1750.0
543754.390625 6427239.589844 1950.0
999.0 999.0 999.0
543723.425781 6427163.367188 1750.0
543723.425781 6427163.367188 1950.0
999.0 999.0 999.0
543692.460938 6427087.144531 1750.0
543692.460938 6427087.144531 1950.0
999.0 999.0 999.0
543661.496094 6427010.921875 1750.0
543661.496094 6427010.921875 1950.0
999.0 999.0 999.0
543630.53125 6426934.699219 1750.0
543630.53125 6426934.699219 1950.0
999.0 999.0 999.0
543599.566406 6426858.476563 1750.0
543599.566406 6426858.476563 1950.0
999.0 999.0 999.0
543555.728516 6426783.521973 1750.0
543555.728516 6426783.521973 1950.0
999.0 999.0 999.0
