X Y Z
546049.285156 6427391.523438 1750.0
546049.285156 6427391.523438 1950.0
999.0 999.0 999.0
546022.755371 6427299.75 1750.0
546022.755371 6427299.75 1950.0
999.0 999.0 999.0
545996.226074 6427207.976563 1750.0
545996.226074 6427207.976563 1950.0
999.0 999.0 999.0
545969.696777 6427116.203125 1750.0
545969.696777 6427116.203125 1950.0
999.0 999.0 999.0
545943.166992 6427024.429688 1750.0
545943.166992 6427024.429688 1950.0
999.0 999.0 999.0
545916.637695 6426932.65625 1750.0
545916.637695 6426932.65625 1950.0
999.0 999.0 999.0
545890.108398 6426840.882813 1750.0
545890.108398 6426840.882813 1950.0
999.0 999.0 999.0
545863.579102 6426749.109375 1750.0
545863.579102 6426749.109375 1950.0
999.0 999.0 999.0
545837.049316 6426657.335938 1750.0
545837.049316 6426657.335938 1950.0
999.0 999.0 999.0
545810.52002 6426565.5625 1750.0
545810.52002 6426565.5625 1950.0
999.0 999.0 999.0
545783.990234 6426473.789063 1750.0
545783.990234 6426473.789063 1950.0
999.0 999.0 999.0
545757.460938 6426382.015625 1750.0
545757.460938 6426382.015625 1950.0
999.0 999.0 999.0
545712.71582 6426293.858276 1750.0
545712.71582 6426293.858276 1950.0
999.0 999.0 999.0
545667.970215 6426205.70105 1750.0
545667.970215 6426205.70105 1950.0
999.0 999.0 999.0
545623.224609 6426117.543701 1750.0
545623.224609 6426117.543701 1950.0
999.0 999.0 999.0
545578.479492 6426029.386353 1750.0
545578.479492 6426029.386353 1950.0
999.0 999.0 999.0
545533.733398 6425941.229004 1750.0
545533.733398 6425941.229004 1950.0
999.0 999.0 999.0
545488.988281 6425853.071777 1750.0
545488.988281 6425853.071777 1950.0
999.0 999.0 999.0
545444.243164 6425764.914429 1750.0
545444.243164 6425764.914429 1950.0
999.0 999.0 999.0
545399.497559 6425676.75708 1750.0
545399.497559 6425676.75708 1950.0
999.0 999.0 999.0
545354.751953 6425588.599731 1750.0
545354.751953 6425588.599731 1950.0
999.0 999.0 999.0
545310.006836 6425500.442505 1750.0
545310.006836 6425500.442505 1950.0
999.0 999.0 999.0
545265.26123 6425412.285156 1750.0
545265.26123 6425412.285156 1950.0
999.0 999.0 999.0
545213.092773 6425335.825745 1750.0
