X Y Z
542410.423584 6430447.734375 1750.0
542410.423584 6430447.734375 1950.0
999.0 999.0 999.0
542408.412964 6430354.073242 1750.0
542408.412964 6430354.073242 1950.0
999.0 999.0 999.0
542406.402466 6430260.412598 1750.0
542406.402466 6430260.412598 1950.0
999.0 999.0 999.0
542404.39209 6430166.751953 1750.0
542404.39209 6430166.751953 1950.0
999.0 999.0 999.0
542402.38147 6430073.09082 1750.0
542402.38147 6430073.09082 1950.0
999.0 999.0 999.0
542400.37085 6429979.429688 1750.0
542400.37085 6429979.429688 1950.0
999.0 999.0 999.0
542398.360474 6429885.769531 1750.0
542398.360474 6429885.769531 1950.0
999.0 999.0 999.0
542396.349854 6429792.108398 1750.0
542396.349854 6429792.108398 1950.0
999.0 999.0 999.0
542394.339355 6429698.447266 1750.0
542394.339355 6429698.447266 1950.0
999.0 999.0 999.0
542392.328979 6429604.786621 1750.0
542392.328979 6429604.786621 1950.0
999.0 999.0 999.0
542390.318359 6429511.125977 1750.0
542390.318359 6429511.125977 1950.0
999.0 999.0 999.0
542388.307861 6429417.464844 1750.0
542388.307861 6429417.464844 1950.0
999.0 999.0 999.0
542385.328247 6429336.952148 1750.0
542385.328247 6429336.952148 1950.0
999.0 999.0 999.0
542382.348633 6429256.439453 1750.0
542382.348633 6429256.439453 1950.0
999.0 999.0 999.0
542379.369019 6429175.926758 1750.0
542379.369019 6429175.926758 1950.0
999.0 999.0 999.0
542376.389404 6429095.414063 1750.0
542376.389404 6429095.414063 1950.0
999.0 999.0 999.0
542360.648438 6428999.520996 1750.0
542360.648438 6428999.520996 1950.0
999.0 999.0 999.0
542344.907471 6428903.628418 1750.0
542344.907471 6428903.628418 1950.0
999.0 999.0 999.0
542329.166504 6428807.73584 1750.0
542329.166504 6428807.73584 1950.0
999.0 999.0 999.0
542313.425537 6428711.843262 1750.0
542313.425537 6428711.843262 1950.0
999.0 999.0 999.0
542297.684448 6428615.950195 1750.0
542297.684448 6428615.950195 1950.0
999.0 999.0 999.0
542281.943359 6428520.057373 1750.0
542281.943359 6428520.057373 1950.0
999.0 999.0 999.0
542266.202515 6428424.164551 1750.0
542266.202515 6428424.164551 1950.0
999.0 999.0 999.0
542250.461426 6428328.271973 1750.0
542250.461426 6428328.271973 1950.0
999.0 999.0 999.0
542234.720459 6428232.37915 1750.0
542234.720459 6428232.37915 1950.0
999.0 999.0 999.0
542218.979492 6428136.486328 1750.0
542218.979492 6428136.486328 1950.0
999.0 999.0 999.0
542205.96875 6428056.29541 1750.0
542205.96875 6428056.29541 1950.0
999.0 999.0 999.0
542192.958008 6427976.104492 1750.0
542192.958008 6427976.104492 1950.0
999.0 999.0 999.0
542179.947266 6427895.913574 1750.0
542179.947266 6427895.913574 1950.0
999.0 999.0 999.0
542166.936523 6427815.722656 1750.0
542166.936523 6427815.722656 1950.0
999.0 999.0 999.0
542156.004395 6427728.134766 1750.0
542156.004395 6427728.134766 1950.0
999.0 999.0 999.0
542145.072266 6427640.546875 1750.0
542145.072266 6427640.546875 1950.0
999.0 999.0 999.0
542134.140137 6427552.958984 1750.0
542134.140137 6427552.958984 1950.0
999.0 999.0 999.0
542123.208008 6427465.371094 1750.0
542123.208008 6427465.371094 1950.0
999.0 999.0 999.0
542112.275879 6427377.783203 1750.0
542112.275879 6427377.783203 1950.0
999.0 999.0 999.0
542092.742859 6427296.618164 1750.0
542092.742859 6427296.618164 1950.0
999.0 999.0 999.0
542073.209839 6427215.453125 1750.0
542073.209839 6427215.453125 1950.0
999.0 999.0 999.0
542053.67688 6427134.288086 1750.0
542053.67688 6427134.288086 1950.0
999.0 999.0 999.0
542034.14386 6427053.123047 1750.0
542034.14386 6427053.123047 1950.0
999.0 999.0 999.0
542014.610901 6426971.958008 1750.0
542014.610901 6426971.958008 1950.0
999.0 999.0 999.0
541995.077881 6426890.792969 1750.0
541995.077881 6426890.792969 1950.0
999.0 999.0 999.0
541989.16333 6426813.40625 1750.0
541989.16333 6426813.40625 1950.0
999.0 999.0 999.0
541983.248779 6426736.019531 1750.0
541983.248779 6426736.019531 1950.0
999.0 999.0 999.0
541934.166809 6426649.350586 1750.0
541934.166809 6426649.350586 1950.0
999.0 999.0 999.0
541885.084839 6426562.681641 1750.0
541885.084839 6426562.681641 1950.0
999.0 999.0 999.0
541836.002869 6426476.012695 1750.0
541836.002869 6426476.012695 1950.0
999.0 999.0 999.0
541786.920898 6426389.34375 1750.0
541786.920898 6426389.34375 1950.0
999.0 999.0 999.0
541743.260986 6426308.431641 1750.0
541743.260986 6426308.431641 1950.0
999.0 999.0 999.0
541699.601074 6426227.519531 1750.0
541699.601074 6426227.519531 1950.0
999.0 999.0 999.0
541672.185547 6426135.407227 1750.0
541672.185547 6426135.407227 1950.0
999.0 999.0 999.0
541644.77002 6426043.294922 1750.0
541644.77002 6426043.294922 1950.0
999.0 999.0 999.0
541617.354492 6425951.182617 1750.0
541617.354492 6425951.182617 1950.0
999.0 999.0 999.0
541589.938965 6425859.070313 1750.0
541589.938965 6425859.070313 1950.0
999.0 999.0 999.0
541546.384766 6425773.717285 1750.0
541546.384766 6425773.717285 1950.0
999.0 999.0 999.0
541502.830566 6425688.364014 1750.0
541502.830566 6425688.364014 1950.0
999.0 999.0 999.0
541459.276367 6425603.010925 1750.0
541459.276367 6425603.010925 1950.0
999.0 999.0 999.0
541415.722168 6425517.657776 1750.0
541415.722168 6425517.657776 1950.0
999.0 999.0 999.0
541372.167969 6425432.304688 1750.0
541372.167969 6425432.304688 1950.0
999.0 999.0 999.0
