X Y Z
548736.332031 6421318.844727 1750.0
548736.332031 6421318.844727 1950.0
999.0 999.0 999.0
548664.458008 6421270.48999 1750.0
548664.458008 6421270.48999 1950.0
999.0 999.0 999.0
548592.584961 6421222.135742 1750.0
548592.584961 6421222.135742 1950.0
999.0 999.0 999.0
548520.710938 6421173.78125 1750.0
548520.710938 6421173.78125 1950.0
999.0 999.0 999.0
548448.836914 6421125.426758 1750.0
548448.836914 6421125.426758 1950.0
999.0 999.0 999.0
548376.962891 6421077.072266 1750.0
548376.962891 6421077.072266 1950.0
999.0 999.0 999.0
548305.089844 6421028.717773 1750.0
548305.089844 6421028.717773 1950.0
999.0 999.0 999.0
548233.21582 6420980.363281 1750.0
548233.21582 6420980.363281 1950.0
999.0 999.0 999.0
548167.458008 6420921.868164 1750.0
548167.458008 6420921.868164 1950.0
999.0 999.0 999.0
548101.700684 6420863.373047 1750.0
548101.700684 6420863.373047 1950.0
999.0 999.0 999.0
548035.942871 6420804.87793 1750.0
548035.942871 6420804.87793 1950.0
999.0 999.0 999.0
547977.27002 6420769.463379 1750.0
547977.27002 6420769.463379 1950.0
999.0 999.0 999.0
547918.597656 6420734.04834 1750.0
547918.597656 6420734.04834 1950.0
999.0 999.0 999.0
547859.924805 6420698.633789 1750.0
547859.924805 6420698.633789 1950.0
999.0 999.0 999.0
547800.991211 6420639.809326 1750.0
547800.991211 6420639.809326 1950.0
999.0 999.0 999.0
547742.058594 6420580.984619 1750.0
547742.058594 6420580.984619 1950.0
999.0 999.0 999.0
547683.125977 6420522.160156 1750.0
547683.125977 6420522.160156 1950.0
999.0 999.0 999.0
547611.698242 6420471.299316 1750.0
547611.698242 6420471.299316 1950.0
999.0 999.0 999.0
547540.270508 6420420.438477 1750.0
547540.270508 6420420.438477 1950.0
999.0 999.0 999.0
547468.843262 6420369.577148 1750.0
547468.843262 6420369.577148 1950.0
999.0 999.0 999.0
547397.415527 6420318.716309 1750.0
547397.415527 6420318.716309 1950.0
999.0 999.0 999.0
547325.988281 6420267.85498 1750.0
547325.988281 6420267.85498 1950.0
999.0 999.0 999.0
547254.560547 6420216.994141 1750.0
547254.560547 6420216.994141 1950.0
999.0 999.0 999.0
547193.15918 6420154.747559 1750.0
547193.15918 6420154.747559 1950.0
999.0 999.0 999.0
547131.758789 6420092.500977 1750.0
547131.758789 6420092.500977 1950.0
999.0 999.0 999.0
547070.356445 6420030.254883 1750.0
547070.356445 6420030.254883 1950.0
999.0 999.0 999.0
547008.955566 6419968.007813 1750.0
547008.955566 6419968.007813 1950.0
999.0 999.0 999.0
546947.554688 6419905.761719 1750.0
546947.554688 6419905.761719 1950.0
999.0 999.0 999.0
546886.15332 6419843.515137 1750.0
546886.15332 6419843.515137 1950.0
999.0 999.0 999.0
546824.751953 6419781.268555 1750.0
546824.751953 6419781.268555 1950.0
999.0 999.0 999.0
546763.822266 6419716.251953 1750.0
546763.822266 6419716.251953 1950.0
999.0 999.0 999.0
546702.892578 6419651.235352 1750.0
546702.892578 6419651.235352 1950.0
999.0 999.0 999.0
546641.961914 6419586.219727 1750.0
546641.961914 6419586.219727 1950.0
999.0 999.0 999.0
546581.032227 6419521.203125 1750.0
546581.032227 6419521.203125 1950.0
999.0 999.0 999.0
546520.102539 6419456.186523 1750.0
546520.102539 6419456.186523 1950.0
999.0 999.0 999.0
546459.172363 6419391.169922 1750.0
546459.172363 6419391.169922 1950.0
999.0 999.0 999.0
546398.242676 6419326.15332 1750.0
546398.242676 6419326.15332 1950.0
999.0 999.0 999.0
546340.634277 6419275.154297 1750.0
546340.634277 6419275.154297 1950.0
999.0 999.0 999.0
546283.026367 6419224.154785 1750.0
546283.026367 6419224.154785 1950.0
999.0 999.0 999.0
546225.417969 6419173.155273 1750.0
546225.417969 6419173.155273 1950.0
999.0 999.0 999.0
