X Y Z
543744.412842 6429317.171875 1750.0
543744.412842 6429317.171875 1950.0
999.0 999.0 999.0
543705.805664 6429239.242676 1750.0
543705.805664 6429239.242676 1950.0
999.0 999.0 999.0
543667.19873 6429161.313477 1750.0
543667.19873 6429161.313477 1950.0
999.0 999.0 999.0
543628.591553 6429083.384277 1750.0
543628.591553 6429083.384277 1950.0
999.0 999.0 999.0
543589.984619 6429005.455078 1750.0
543589.984619 6429005.455078 1950.0
999.0 999.0 999.0
543551.377441 6428927.526367 1750.0
543551.377441 6428927.526367 1950.0
999.0 999.0 999.0
543512.770508 6428849.597168 1750.0
543512.770508 6428849.597168 1950.0
999.0 999.0 999.0
543474.16333 6428771.667969 1750.0
543474.16333 6428771.667969 1950.0
999.0 999.0 999.0
543460.400635 6428679.08252 1750.0
543460.400635 6428679.08252 1950.0
999.0 999.0 999.0
543446.637939 6428586.49707 1750.0
543446.637939 6428586.49707 1950.0
999.0 999.0 999.0
543432.875244 6428493.911621 1750.0
543432.875244 6428493.911621 1950.0
999.0 999.0 999.0
543419.112549 6428401.326172 1750.0
543419.112549 6428401.326172 1950.0
999.0 999.0 999.0
543373.069824 6428320.250977 1750.0
543373.069824 6428320.250977 1950.0
999.0 999.0 999.0
543327.027588 6428239.17627 1750.0
543327.027588 6428239.17627 1950.0
999.0 999.0 999.0
543280.985107 6428158.101074 1750.0
543280.985107 6428158.101074 1950.0
999.0 999.0 999.0
543234.942627 6428077.026367 1750.0
543234.942627 6428077.026367 1950.0
999.0 999.0 999.0
543188.899902 6427995.951172 1750.0
543188.899902 6427995.951172 1950.0
999.0 999.0 999.0
543142.857422 6427914.876221 1750.0
543142.857422 6427914.876221 1950.0
999.0 999.0 999.0
543096.814941 6427833.80127 1750.0
543096.814941 6427833.80127 1950.0
999.0 999.0 999.0
543050.772583 6427752.726074 1750.0
543050.772583 6427752.726074 1950.0
999.0 999.0 999.0
543004.72998 6427671.651367 1750.0
543004.72998 6427671.651367 1950.0
999.0 999.0 999.0
542958.6875 6427590.576172 1750.0
542958.6875 6427590.576172 1950.0
999.0 999.0 999.0
542920.072754 6427501.73999 1750.0
542920.072754 6427501.73999 1950.0
999.0 999.0 999.0
542881.457764 6427412.903809 1750.0
542881.457764 6427412.903809 1950.0
999.0 999.0 999.0
542842.842773 6427324.067383 1750.0
542842.842773 6427324.067383 1950.0
999.0 999.0 999.0
542804.228027 6427235.231445 1750.0
542804.228027 6427235.231445 1950.0
999.0 999.0 999.0
542765.613037 6427146.39502 1750.0
542765.613037 6427146.39502 1950.0
999.0 999.0 999.0
542726.998291 6427057.558838 1750.0
542726.998291 6427057.558838 1950.0
999.0 999.0 999.0
542688.383301 6426968.722656 1750.0
542688.383301 6426968.722656 1950.0
999.0 999.0 999.0
542676.237061 6426880.252441 1750.0
542676.237061 6426880.252441 1950.0
999.0 999.0 999.0
542664.09082 6426791.782471 1750.0
542664.09082 6426791.782471 1950.0
999.0 999.0 999.0
542651.94458 6426703.312012 1750.0
542651.94458 6426703.312012 1950.0
999.0 999.0 999.0
542639.79834 6426614.842041 1750.0
542639.79834 6426614.842041 1950.0
999.0 999.0 999.0
542627.6521 6426526.371948 1750.0
542627.6521 6426526.371948 1950.0
999.0 999.0 999.0
542615.505859 6426437.901733 1750.0
542615.505859 6426437.901733 1950.0
999.0 999.0 999.0
542603.359619 6426349.431641 1750.0
542603.359619 6426349.431641 1950.0
999.0 999.0 999.0
542564.106934 6426274.916748 1750.0
542564.106934 6426274.916748 1950.0
999.0 999.0 999.0
542524.854126 6426200.4021 1750.0
542524.854126 6426200.4021 1950.0
999.0 999.0 999.0
542485.601318 6426125.887207 1750.0
542485.601318 6426125.887207 1950.0
999.0 999.0 999.0
542446.348511 6426051.372314 1750.0
542446.348511 6426051.372314 1950.0
999.0 999.0 999.0
542407.095703 6425976.857422 1750.0
542407.095703 6425976.857422 1950.0
999.0 999.0 999.0
542376.414429 6425887.980347 1750.0
542376.414429 6425887.980347 1950.0
999.0 999.0 999.0
542345.733276 6425799.103516 1750.0
542345.733276 6425799.103516 1950.0
999.0 999.0 999.0
542315.052124 6425710.226563 1750.0
542315.052124 6425710.226563 1950.0
999.0 999.0 999.0
542284.37085 6425621.349609 1750.0
542284.37085 6425621.349609 1950.0
999.0 999.0 999.0
542253.689697 6425532.472656 1750.0
542253.689697 6425532.472656 1950.0
999.0 999.0 999.0
542223.008545 6425443.595703 1750.0
542223.008545 6425443.595703 1950.0
999.0 999.0 999.0
542163.668091 6425364.951721 1750.0
542163.668091 6425364.951721 1950.0
999.0 999.0 999.0
542104.327515 6425286.307739 1750.0
542104.327515 6425286.307739 1950.0
999.0 999.0 999.0
542044.986938 6425207.663757 1750.0
542044.986938 6425207.663757 1950.0
999.0 999.0 999.0
541985.646484 6425129.019775 1750.0
541985.646484 6425129.019775 1950.0
999.0 999.0 999.0
541926.30603 6425050.375824 1750.0
541926.30603 6425050.375824 1950.0
999.0 999.0 999.0
541866.965515 6424971.731873 1750.0
541866.965515 6424971.731873 1950.0
999.0 999.0 999.0
541807.625 6424893.087891 1750.0
541807.625 6424893.087891 1950.0
999.0 999.0 999.0
541768.839233 6424819.269531 1750.0
541768.839233 6424819.269531 1950.0
999.0 999.0 999.0
541730.053467 6424745.451172 1750.0
541730.053467 6424745.451172 1950.0
999.0 999.0 999.0
