X Y Z
552240.75 6405938.890625 1750.0
552240.75 6405938.890625 1950.0
999.0 999.0 999.0
552307.858398 6406008.585938 1750.0
552307.858398 6406008.585938 1950.0
999.0 999.0 999.0
552374.966797 6406078.28125 1750.0
552374.966797 6406078.28125 1950.0
999.0 999.0 999.0
552442.075195 6406147.976563 1750.0
552442.075195 6406147.976563 1950.0
999.0 999.0 999.0
552509.183594 6406217.671875 1750.0
552509.183594 6406217.671875 1950.0
999.0 999.0 999.0
552561.768555 6406279.529297 1750.0
552561.768555 6406279.529297 1950.0
999.0 999.0 999.0
552614.353516 6406341.386719 1750.0
552614.353516 6406341.386719 1950.0
999.0 999.0 999.0
552666.938477 6406403.246094 1750.0
552666.938477 6406403.246094 1950.0
999.0 999.0 999.0
552719.523438 6406465.103516 1750.0
552719.523438 6406465.103516 1950.0
999.0 999.0 999.0
552739.859375 6406537.314453 1750.0
552739.859375 6406537.314453 1950.0
999.0 999.0 999.0
552760.195313 6406609.525391 1750.0
552760.195313 6406609.525391 1950.0
999.0 999.0 999.0
552780.53125 6406681.736328 1750.0
552780.53125 6406681.736328 1950.0
999.0 999.0 999.0
552816.421875 6406763.785156 1750.0
552816.421875 6406763.785156 1950.0
999.0 999.0 999.0
552852.3125 6406845.835938 1750.0
552852.3125 6406845.835938 1950.0
999.0 999.0 999.0
552865.368164 6406929.601563 1750.0
552865.368164 6406929.601563 1950.0
999.0 999.0 999.0
552878.423828 6407013.367188 1750.0
552878.423828 6407013.367188 1950.0
999.0 999.0 999.0
552891.480469 6407097.132813 1750.0
552891.480469 6407097.132813 1950.0
999.0 999.0 999.0
552927.582031 6407176.685547 1750.0
552927.582031 6407176.685547 1950.0
999.0 999.0 999.0
552963.683594 6407256.236328 1750.0
552963.683594 6407256.236328 1950.0
999.0 999.0 999.0
552999.785156 6407335.787109 1750.0
552999.785156 6407335.787109 1950.0
999.0 999.0 999.0
553053.717773 6407404.507813 1750.0
553053.717773 6407404.507813 1950.0
999.0 999.0 999.0
553107.650391 6407473.230469 1750.0
553107.650391 6407473.230469 1950.0
999.0 999.0 999.0
553161.583008 6407541.953125 1750.0
553161.583008 6407541.953125 1950.0
999.0 999.0 999.0
553215.515625 6407610.673828 1750.0
553215.515625 6407610.673828 1950.0
999.0 999.0 999.0
553237.805664 6407687.089844 1750.0
553237.805664 6407687.089844 1950.0
999.0 999.0 999.0
553260.095703 6407763.503906 1750.0
553260.095703 6407763.503906 1950.0
999.0 999.0 999.0
553282.385742 6407839.919922 1750.0
553282.385742 6407839.919922 1950.0
999.0 999.0 999.0
553304.675781 6407916.335938 1750.0
553304.675781 6407916.335938 1950.0
999.0 999.0 999.0
553327.908203 6407989.121094 1750.0
553327.908203 6407989.121094 1950.0
999.0 999.0 999.0
553351.140625 6408061.908203 1750.0
553351.140625 6408061.908203 1950.0
999.0 999.0 999.0
553364.412109 6408140.285156 1750.0
553364.412109 6408140.285156 1950.0
999.0 999.0 999.0
553377.683594 6408218.661133 1750.0
553377.683594 6408218.661133 1950.0
999.0 999.0 999.0
553413.422852 6408299.793945 1750.0
553413.422852 6408299.793945 1950.0
999.0 999.0 999.0
553449.162109 6408380.925781 1750.0
553449.162109 6408380.925781 1950.0
999.0 999.0 999.0
553484.901367 6408462.057617 1750.0
553484.901367 6408462.057617 1950.0
999.0 999.0 999.0
553520.640625 6408543.19043 1750.0
553520.640625 6408543.19043 1950.0
999.0 999.0 999.0
