X Y Z
545921.371094 6427086.890625 1750.0
545921.371094 6427086.890625 1950.0
999.0 999.0 999.0
545862.505371 6427020.397461 1750.0
545862.505371 6427020.397461 1950.0
999.0 999.0 999.0
545803.640137 6426953.904053 1750.0
545803.640137 6426953.904053 1950.0
999.0 999.0 999.0
545744.774414 6426887.410645 1750.0
545744.774414 6426887.410645 1950.0
999.0 999.0 999.0
545685.90918 6426820.91748 1750.0
545685.90918 6426820.91748 1950.0
999.0 999.0 999.0
545627.043457 6426754.424072 1750.0
545627.043457 6426754.424072 1950.0
999.0 999.0 999.0
545568.178223 6426687.930908 1750.0
545568.178223 6426687.930908 1950.0
999.0 999.0 999.0
545509.3125 6426621.4375 1750.0
545509.3125 6426621.4375 1950.0
999.0 999.0 999.0
545450.874023 6426543.693848 1750.0
545450.874023 6426543.693848 1950.0
999.0 999.0 999.0
545392.436035 6426465.950073 1750.0
545392.436035 6426465.950073 1950.0
999.0 999.0 999.0
545333.997559 6426388.206299 1750.0
545333.997559 6426388.206299 1950.0
999.0 999.0 999.0
545275.55957 6426310.462524 1750.0
545275.55957 6426310.462524 1950.0
999.0 999.0 999.0
545217.121094 6426232.71875 1750.0
545217.121094 6426232.71875 1950.0
999.0 999.0 999.0
545175.817383 6426170.278564 1750.0
545175.817383 6426170.278564 1950.0
999.0 999.0 999.0
545134.51416 6426107.838623 1750.0
545134.51416 6426107.838623 1950.0
999.0 999.0 999.0
545093.210938 6426045.398438 1750.0
545093.210938 6426045.398438 1950.0
999.0 999.0 999.0
545025.491211 6425977.708984 1750.0
545025.491211 6425977.708984 1950.0
999.0 999.0 999.0
544957.771729 6425910.019531 1750.0
544957.771729 6425910.019531 1950.0
999.0 999.0 999.0
544890.051758 6425842.330078 1750.0
544890.051758 6425842.330078 1950.0
999.0 999.0 999.0
544822.332031 6425774.640625 1750.0
544822.332031 6425774.640625 1950.0
999.0 999.0 999.0
544754.612305 6425706.951172 1750.0
544754.612305 6425706.951172 1950.0
999.0 999.0 999.0
544692.972168 6425634.146484 1750.0
544692.972168 6425634.146484 1950.0
999.0 999.0 999.0
544631.332275 6425561.341797 1750.0
544631.332275 6425561.341797 1950.0
999.0 999.0 999.0
544569.692383 6425488.537109 1750.0
544569.692383 6425488.537109 1950.0
999.0 999.0 999.0
544516.15625 6425426.116699 1750.0
544516.15625 6425426.116699 1950.0
999.0 999.0 999.0
544462.620117 6425363.696289 1750.0
544462.620117 6425363.696289 1950.0
999.0 999.0 999.0
544409.083984 6425301.275879 1750.0
544409.083984 6425301.275879 1950.0
999.0 999.0 999.0
544355.547852 6425238.855469 1750.0
544355.547852 6425238.855469 1950.0
999.0 999.0 999.0
544293.61499 6425187.561035 1750.0
544293.61499 6425187.561035 1950.0
999.0 999.0 999.0
544231.682129 6425136.266602 1750.0
544231.682129 6425136.266602 1950.0
999.0 999.0 999.0
544169.749268 6425084.972168 1750.0
544169.749268 6425084.972168 1950.0
999.0 999.0 999.0
544107.816406 6425033.677734 1750.0
544107.816406 6425033.677734 1950.0
999.0 999.0 999.0
544043.04126 6424972.222382 1750.0
544043.04126 6424972.222382 1950.0
999.0 999.0 999.0
543978.266113 6424910.767029 1750.0
543978.266113 6424910.767029 1950.0
999.0 999.0 999.0
543913.490967 6424849.311646 1750.0
543913.490967 6424849.311646 1950.0
999.0 999.0 999.0
543848.716064 6424787.856293 1750.0
543848.716064 6424787.856293 1950.0
999.0 999.0 999.0
543783.940918 6424726.40094 1750.0
543783.940918 6424726.40094 1950.0
999.0 999.0 999.0
543719.165771 6424664.945587 1750.0
543719.165771 6424664.945587 1950.0
999.0 999.0 999.0
543654.390625 6424603.490234 1750.0
543654.390625 6424603.490234 1950.0
999.0 999.0 999.0
543569.150879 6424566.874348 1750.0
543569.150879 6424566.874348 1950.0
999.0 999.0 999.0
543483.911621 6424530.258461 1750.0
543483.911621 6424530.258461 1950.0
999.0 999.0 999.0
543398.672119 6424493.642578 1750.0
543398.672119 6424493.642578 1950.0
999.0 999.0 999.0
